Variable,N,Mean,SD,Min,Max
Revenue (100 million yuan),3481,72.33488968629956,215.3936914722087,0.0,3445.33
Total assets (100 million yuan),64,281.0705310766922,721.8634941767107,5.6862176471,3774.75427
ROE (%),3467,9.398456619555814,16.567923779513787,-74.9396,54.02020000000008
Size (ln assets),64,22.171730557952745,1.787745194568255,20.158726034165802,26.656771309477048
Gross margin (%),3474,30.815441223088015,18.621552598872817,-2.09849780211,88.99525957338898
