stock_code,year,name,industry,revenue,net_income,roe,gross_margin,total_assets,fixed_assets,size_log,roa
920519,2019,万德股份,化学制品,367597465.32,45081388.82,23.75,31.2918975923,,,,
688602,2019,康鹏科技,化学制药,687261243.26,141368643.45,14.61,38.2287290381,,,,
920526,2019,凯华材料,电子化学品Ⅱ,93802968.17,15537068.03,16.61,36.3257586244,,,,
920033,2019,康普化学,化学制品,133124566.53,15358327.43,13.08,25.9088902665,,,,
920957,2019,汉维科技,化学制品,438706271.97,51661227.61,24.78,25.1313833069,,,,
301538,2019,骏鼎达,塑料,281602509.63,56687296.41,26.88,49.3591349888,,,,
301591,2019,肯特股份,塑料,245432478.05,45511929.12,17.86,38.1354414598,,,,
920014,2019,特瑞斯,燃气Ⅱ,502199477.89,63676387.32,26.14,33.5622644508,,,,
920230,2019,欧康医药,化学制药,145145801.24,12188651.06,14.86,25.1035462195,,,,
301555,2019,惠柏新材,塑料,551350783.12,22742974.21,4.96,21.145080377,,,,
001333,2019,光华股份,塑料,737683743.29,91709867.49,32.6,25.263185645,,,,
603310,2019,巍华新材,化学制品,518543509.56,43347578.5,13.81,21.3961444555,,,,
301277,2019,新天地,化学制药,406522630.22,109154271.17,24.48,40.5804055904,,,,
301459,2019,丰茂股份,橡胶,392640589.61,43980976.23,89.24,31.0139810892,,,,
300576,2019,容大感光,电子化学品Ⅱ,455112179.64,37837085.18,8.4,32.1028591205,,,,
603130,2019,云中马,纺织制造,1650655010.73,92306184.83,33.93,16.1753845573,,,,
603062,2019,麦加芯彩,化学制品,700500200.0,29144800.0,11.09,25.2390220588,,,,
301585,2019,蓝宇股份,化学制品,128181014.11,10826204.79,6.43,27.9647853146,,,,
920527,2019,夜光明,纺织制造,275953946.24,27756662.57,18.97,23.8744482649,,,,
301319,2019,唯特偶,电子化学品Ⅱ,518216943.8,54160094.82,20.44,28.614350722,,,,
920402,2019,硅烷科技,化学制品,368846488.03,15717810.21,8.85,22.5693166132,,,,
301489,2019,思泉新材,电子化学品Ⅱ,272655678.23,36563795.9,27.16,33.6793810443,,,,
301469,2019,恒达新材,造纸,583343127.9,32087935.26,9.91,20.6287952604,,,,
301518,2019,长华化学,化学制品,1514838188.57,44816374.02,18.1,9.0817515506,,,,
