year,revenue_mean,revenue_median,roe_mean,roe_median,N
2019,60.83070649228818,14.7432587394,2.170411461988304,10.38,863
2020,63.54775781830551,14.871967483799999,9.807150402761794,10.42,870
2021,78.96345491333554,18.93539939745,10.292496202531646,10.23,872
2022,85.79699692786495,19.912601484,6.877006178489702,8.1,876
