报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期,stock_code
20230331,582797540.36,582797540.36,,,,,,551049481.13,269891710.77,,,,,,,,,10544449.63,19160727.57,227951208.89,19861901.57,3639482.7,5099551.52,,,,,,,62885.73,,,,930889.75,,,,4996.34,32746831.05,138459.73,,11778.71,,32873512.07,9522409.77,,23351102.3,23351102.3,,23790846.61,,-439744.31,1987179.61,1987179.61,1987179.61,,,1987179.61,,,,,,,,,,,,,,25338281.91,25778026.22,-439744.31,0.04,0.04,定期报告,未审计,20240501,CNY,合并期末,2023-04-28T12:48:44,900904
20221231,2388617677.74,2388617677.74,,,,,,2309774432.74,1124933735.58,,,,,,,,,29643594.32,45991082.07,1002708247.32,94231672.49,12266100.96,17366062.67,,1765241.44,65078.23,,,,,,,,8514609.27,-15678906.59,-2418385.48,,-5173925.08,65851878.56,939871.69,,3563403.87,,63228346.38,14934273.62,,48294072.76,48294072.76,,48548121.74,,-254048.98,-11860928.41,-11860928.41,-11860928.41,,,-11860928.41,,,,,,,,,,,,,,36433144.35,36687193.33,-254048.98,0.09,0.09,定期报告,是,20240430,CNY,合并期末,2023-04-28T12:48:44,900904
20220930,1712817975.79,1712817975.79,,,,,,1627948164.14,760496119.21,,,,,,,,,23934016.81,36536409.04,733449029.08,64332060.73,9200529.27,12697493.89,,300000.0,,,,,,,,,3514820.75,-6972218.24,-1229361.27,,-5095979.73,75387073.16,1238950.58,,535050.66,,76090973.08,19158056.13,,56932916.95,56932916.95,,55445664.01,,1487252.94,-13112982.67,-13112982.67,-13112982.67,,,-13112982.67,,,,,,,,,,,,,,43819934.28,42332681.34,1487252.94,0.1,0.1,定期报告,未审计,20231031,CNY,合并期末,2022-10-28T11:52:08,900904
20220630,1202246417.57,1202246417.57,,,,,,1157009344.15,559114070.08,,,,,,,,,14461034.23,17994239.54,516043422.35,42848527.87,6548050.08,9019852.54,,300000.0,,,,,,,,,2729092.03,59119.02,-278155.2,,10276.43,48057405.7,322656.21,,496060.57,,47884001.34,15121705.43,,32762295.91,32762295.91,,31972949.32,,789346.59,-8628306.16,-8628306.16,-8628306.16,,,-8628306.16,,,,,,,,,,,,,,24133989.75,23344643.16,789346.59,0.06,0.06,定期报告,未审计,20230831,CNY,合并期末,2022-08-30T14:32:05,900904
20220331,588244525.86,588244525.86,,,,,,558439116.84,266078606.43,,,,,,,,,8953204.37,6068230.05,255114007.62,19321142.57,2903925.8,5365276.6,,300000.0,,,,,,,,,571060.71,,85840.14,,,30762309.87,130503.21,,72969.51,,30819843.57,7195309.75,,23624533.82,23624533.82,,23465067.59,,159466.23,-7688207.61,-7688207.61,-7688207.61,,,-7688207.61,,,,,,,,,,,,,,15936326.21,15776859.98,159466.23,0.04,0.04,定期报告,未审计,20230429,CNY,合并期末,2022-04-29T12:12:04,900904
20211231,2303032719.0,2303032719.0,,,,,,2233750837.9,916696747.6,,,,,,,,,27225164.76,50947522.09,1134658360.71,97220086.39,7002956.35,8336503.79,,28108090.35,623687.61,,,,,,,,7431735.22,-28133791.06,24580612.17,,-3324.84,101265202.94,641797.49,,2309578.73,,99597421.7,31635050.23,,67962371.47,67962371.47,,69622537.91,,-1660166.44,-3973971.73,-2358921.73,-2358921.73,,,-2358921.73,,,,,,,,,,,,,-1615050.0,63988399.74,67263616.18,-3275216.44,0.13,0.13,定期报告,是,20230429,CNY,合并期末,2022-04-29T11:37:04,900904
20210930,1703088380.27,1703088380.27,,,,,,1627780615.81,690113530.76,,,,,,,,,20977796.2,28020773.91,818106340.7,68304281.86,2257892.38,3362048.08,,30239400.36,,,,,,,,,5887081.36,-1231984.77,-31356081.99,,14675.16,78860854.58,616681.8,,2114485.07,,77363051.31,23455877.22,,53907174.09,53907174.09,,53024371.63,,882802.46,2290143.51,2290143.51,2290143.51,,,2290143.51,,,,,,,,,,,,,,56197317.6,55314515.14,882802.46,0.1,0.1,定期报告,未审计,20221029,CNY,合并期末,2021-10-29T11:02:04,900904
20210630,1155688396.85,1155688396.85,,,,,,1092206971.08,485025778.43,,,,,,,,,14006812.57,17246284.34,529291743.94,45102006.7,1534345.1,2036485.86,,3411492.01,,,,,,,,,573406.02,-467268.46,-1669162.29,,0.0,65329893.05,311969.71,,2024470.67,,63617392.09,19590474.98,,44026917.11,44026917.11,,44371523.59,,-344606.48,-6233031.4,-6233031.4,-6233031.4,,,-6233031.4,,,,,,,,,,,,,,37793885.71,38138492.19,-344606.48,0.08,0.08,定期报告,未审计,20220831,CNY,合并期末,2021-08-30T10:57:04,900904
20210331,552793039.47,552793039.47,,,,,,522922502.27,236377041.04,,,,,,,,,7654222.75,9545014.22,247871297.37,20754253.0,720673.89,1021522.95,,1660911.86,,,,,,,,,121218.51,-9600.0,-30659.07,,,31612408.5,206498.68,,179787.03,,31639120.15,9133200.06,,22505920.09,22505920.09,,21798630.43,,707289.66,-5919488.91,-5919488.91,-5919488.91,,,-5919488.91,,,,,,,,,,,,,,16586431.18,15879141.52,707289.66,0.04,0.04,定期报告,未审计,20220430,CNY,合并期末,2021-04-29T14:17:04,900904
20201231,1819006691.26,1819006691.26,,,,,,1819557046.34,735253238.6,,,,,,,,,22423415.9,42790643.77,913054424.81,100221360.27,5813962.99,4934987.8,,1167506.6,46282.91,,,,,,,,6060039.72,-169705685.89,-175079397.64,,4687.33,-338103204.96,1455657.88,,3630838.86,,-340278385.94,13194634.37,,-353473020.31,,,-341202593.32,,-12270426.99,1634496.31,1634496.31,1634496.31,,,1634496.31,,,,,,,,,,,,,,-351838524.0,-339568097.01,-12270426.99,-0.64,-0.64,定期报告,是,20220430,CNY,合并期末,2021-04-29T12:42:05,900904
