序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,report_date,year
1,600127,金健米业,-0.04,6440916326.14,17.3554556386,10.223,-23579365.98,-210.48,-7348.7652,1.114836160534,-3.2,0.131979735297,4.0460294381,农产品加工,2026-03-04,20211231,2021
2,002726,龙大美食,-0.64,19509959768.79,-19.0513145121,-19.1802,-661559883.47,-173.03,-5234.3393,2.836585983373,-21.09,-0.081268889805,1.8738858044,食品加工,2026-01-31,20211231,2021
3,874217,锐牛股份,0.81,287667958.31,,,41244951.92,,,2.998416958824,25.23,1.230350326471,38.7725345587,,2025-12-31,20211231,2021
4,300500,启迪设计,0.71,2293537837.02,22.915465151,81.9031,124186946.73,267.9,65.1034,8.908340540142,9.04,0.904130940001,21.2167594166,工程咨询服务Ⅱ,2025-12-31,20211231,2021
5,688270,臻镭科技,1.21,190580502.14,25.2796521273,453.4566,98844243.08,28.48,14271.2476,5.623276776801,24.04,0.058057669963,88.4637635366,半导体,2025-12-25,20211231,2021
6,600592,龙溪股份,0.75,1424703621.93,22.9565097102,-11.7594,298161839.36,99.28,116.1053,5.723317088661,13.75,0.390823821895,26.671602659,通用设备,2025-12-25,20211231,2021
7,600368,五洲交通,0.6234,1830660433.5,6.2549161705,-5.816,701738628.22,24.37,-36.9826,4.737065742933,13.85,1.420536121275,52.7451522112,铁路公路,2025-12-20,20211231,2021
8,873952,鑫森炭业,0.28,225054434.4,15.1349929792,,36431202.11,27.0066247645,,1.977664069583,14.38,0.215348811693,32.2060323642,,2025-12-17,20211231,2021
9,874498,艾斯迪,0.89,549857708.21,,,44228063.67,,,6.764082514902,14.33,0.483731923922,21.8755437914,,2025-12-04,20211231,2021
10,874332,文峰光电,1.3,280684941.89,,,77992604.58,,,5.962311758833,24.97,1.365594511667,69.9245860032,,2025-12-01,20211231,2021
