序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,report_date,year
40,002759,天际股份,1.31,3274624049.68,45.3731231896,12.8691,526296903.17,-29.36,-140.7092,9.327215583888,14.73,2.250348976464,32.2607604053,电池,2026-02-12,20221231,2022
41,920187,通领科技,1.38,892357226.4,5.5334023333,,64563564.45,17.2080520037,,10.5,14.4,0.967480517949,23.183835575,汽车零部件,2026-02-09,20221231,2022
42,874649,弥富科技,0.73,138122922.5,,,36341828.8,,,3.8249812582,20.55,0.6161285386,42.9217742261,,2026-02-06,20221231,2022
43,874327,瑞尔竞达,0.5947,402753764.7,16.5449233177,55.3302,59850286.3,-10.259643437,68.1219,3.02,16.57,0.220387290053,32.2571086944,,2026-02-06,20221231,2022
44,874202,恒道科技,,142568127.71,,,38738553.78,,,4.734801468665,43.94,0.234669903193,56.1480552882,,2026-02-06,20221231,2022
45,688816,易思维,,223216951.9,,,6118609.3,,,52.329552816157,2.16,4.549699882109,62.5319136615,自动化设备,2026-02-06,20221231,2022
46,301680,固德电材,1.14,475109610.28,,,64058589.05,,,4.987175362604,22.58,1.562053364023,28.3971093661,汽车零部件,2026-02-06,20221231,2022
47,920168,通宝光电,0.65,389697751.64,56.8710905082,,36692914.52,300.0253401212,,5.95,11.41,0.466248967364,21.4622934461,汽车零部件,2026-02-05,20221231,2022
48,874475,拓普泰克,1.37,569461905.06,13.0004396678,,62488346.99,17.7706725131,,6.619966896488,22.1,0.609843558725,25.068143423,,2026-02-05,20221231,2022
49,688818,电科蓝天,0.1327,2521113790.38,,,207514372.69,,,2.054482831573,8.28,0.361037458288,24.7436718922,航天装备Ⅱ,2026-02-05,20221231,2022
50,603284,林平发展,2.73,2878891885.88,,,154470728.78,,,16.468039776631,17.8,3.169180608934,7.6745038969,造纸,2026-02-05,20221231,2022
51,920166,海圣医疗,1.1,267721102.86,,,70110439.86,,,4.071151944531,28.6,1.141840640938,52.8238970441,医疗器械,2026-02-02,20221231,2022
52,002726,龙大美食,0.05,16116307059.41,-17.3944628774,0.5942,52665888.1,107.96,156.0326,2.894014123877,1.7,0.8720949105,4.0298182967,食品加工,2026-01-31,20221231,2022
53,830852,中科仪,2.9,698085545.74,55.1936922434,,497878721.89,656.7806244599,,6.22,60.79,0.936692846971,28.6600757903,,2026-01-30,20221231,2022
54,300087,荃银高科,0.25,3490544779.3,38.4712183894,242.5692,233339963.11,38.03,2561.0367,2.535077282309,15.62,0.58759064251,26.836291023,种植业,2026-01-30,20221231,2022
55,920180,爱得科技,1.04,285598245.43,-4.1055498347,,93279439.38,-0.2055722684,,4.97,23.22,0.742692450474,62.4465809065,医疗器械,2026-01-29,20221231,2022
56,871633,华电光大,0.15,268797548.47,58.6812112865,4.1025,19061381.43,1457.0043011997,-26.0132,1.57,10.43,-0.203742857077,23.0161961231,,2026-01-29,20221231,2022
57,874378,华汇智能,0.72,190666358.75,558.5042584082,,26570973.72,1956.5074345592,,2.947760194967,78.29,1.445872134757,33.9075439442,,2026-01-28,20221231,2022
