序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,report_date,year
1,600973,宝胜股份,0.119,33282921832.46,3.413198971,1.1949,145927507.94,30.87,-131.4271,3.101824442471,4.14,0.039818897927,6.4768695345,电网设备,2026-03-14,20191231,2019
2,600127,金健米业,0.02,4108074490.27,36.4254273385,21.9787,12722727.42,123.9405432062,-1199.4514,1.118420698623,1.79,0.075244174802,7.5884050975,农产品加工,2026-03-04,20191231,2019
3,300500,启迪设计,0.98,1254286084.37,14.6798843795,94.6386,169810737.14,49.98,2.1984,8.264340119284,12.51,0.775945892618,30.4932327789,工程咨询服务Ⅱ,2025-12-31,20191231,2019
4,002586,ST围海,-1.12,3329627634.27,-5.9685503865,66.5367,-1278261160.57,-770.26,-2948.1401,3.246682270221,-28.92,-0.063731886717,8.065066626,基础建设,2025-11-29,20191231,2019
5,300343,ST联创,-0.83,3464406071.22,14.8193699282,-35.4062,-962878170.93,24.56,-2952.8002,0.670679088459,-96.51,0.096375189186,10.7268792705,化学制品,2025-11-28,20191231,2019
6,600169,ST太重,-0.326,7066962779.34,8.3759854369,24.1995,-835955293.21,-2246.05,-229931.6521,1.173196429021,-21.7454,0.116959669854,25.9098788862,专用设备,2025-11-01,20191231,2019
7,300237,ST美晨,0.06,2954595368.97,-12.8401840365,58.5352,83000077.86,103.92,-419.1834,1.726257250067,2.55,0.043185681105,27.4398673062,汽车零部件,2025-10-31,20191231,2019
8,400283,高鸿3,0.0386,5775993791.21,-17.7279662909,-171.5608,33319485.53,-31.94,-36.7108,3.316941323671,0.7,-0.853122393646,6.5700770902,,2025-09-09,20191231,2019
9,000711,ST京蓝,-1.03,1901408713.75,-23.6645010117,-1.6688,-1036745832.56,-1111.1,-5978.1692,4.528718791829,-22.11,-0.086591758053,21.7064638599,环境治理,2025-09-05,20191231,2019
10,603616,韩建河山,-0.2912,921858444.09,-12.0865042036,76.5197,-85439749.11,-619.4,-30710.8467,2.407631754977,-8.88,0.49187076159,22.0840184895,水泥,2025-04-30,20191231,2019
11,601212,白银有色,0.005,61700280812.11,-0.3975901276,33.981,34223640.1,124.1,753.0314,1.896299708449,0.48,0.3400653485,3.8927828312,工业金属,2025-04-30,20191231,2019
12,600125,铁龙物流,0.348,16368454209.34,4.668062909,-0.4545,454675457.64,-10.48,-46.0336,4.573774157039,7.816,0.568176913978,6.1107597893,铁路公路,2025-04-30,20191231,2019
13,420280,锦州港B3,0.07,3085495098.1,-18.8321032097,-217.5957,128639534.72,-30.69,-142.2047,3.13206454753,2.67,0.340710494965,27.7032845402,,2025-04-30,20191231,2019
14,400280,锦州港A3,0.07,3085495098.1,-18.8321032097,-217.5957,128639534.72,-30.69,-142.2047,3.13206454753,2.67,0.340710494965,27.7032845402,,2025-04-30,20191231,2019
15,400272,鹏博士3,-3.13,6049857295.95,-11.8055173498,-0.884,-5745794578.68,-1610.74,-90883.3237,0.385838749656,-150.14,0.732086019863,42.1337385132,,2025-04-30,20191231,2019
16,002528,ST英飞拓,0.0041,4259002535.82,-0.2769088231,20.9969,4952157.23,-45.9,-164.2768,3.091127842482,2.02,-0.692739286341,21.4905810002,计算机设备,2025-04-30,20191231,2019
17,603559,ST通脉,0.11,716672435.37,-0.4270356872,25.8208,15772156.15,-66.54,-169.7702,6.093469316753,1.82,0.569132159536,17.9566546261,通信服务,2025-04-29,20191231,2019
18,002602,世纪华通,0.39,14689715624.19,17.2969902027,-6.1213,2285373120.16,69.77,-66.7699,4.120876080069,11.1,0.365706181664,51.2510904041,游戏Ⅱ,2025-04-29,20191231,2019
19,873701,山本光电,,961316831.02,,,26608482.78,,,1.662522291643,23.77,-1.39495112643,13.8255896195,,2025-04-25,20191231,2019
20,872102,中苏科技,0.68,66352302.66,-36.224242319,-44.606,34659029.43,-48.76,2422.8104,1.45,11.78,0.256079697451,46.368628588,,2025-04-25,20191231,2019
21,600293,三峡新材,0.01,3181543686.68,-65.341202126,-15.2181,10823561.34,-95.67,-414.0976,3.382862766208,0.28,0.3011448366,15.658067345,玻璃玻纤,2025-04-25,20191231,2019
22,002122,ST汇洲,-1.4012,1119320912.15,-40.1844495717,8.1776,-1664665012.16,-160.48,-322.9981,1.311560467306,-68.77,-0.01158445729,11.8200080213,通用设备,2025-04-25,20191231,2019
23,430341,呈创科技,-0.29,28561105.98,288.5962981524,,-18012599.24,60.1156445039,,0.21,-110.27,-0.100908144068,15.8979797322,,2025-04-18,20191231,2019
24,600326,西藏天路,,5621295713.83,11.9469330855,2.5279,395544242.51,-3.56,-114.3836,3.921954739518,13.28,0.815537973715,31.0905756883,水泥,2025-04-10,20191231,2019
25,603869,ST智知,,2345629632.62,-22.6286951487,-8.0338,45826922.47,-43.17,-372.8403,7.692819932661,5.43,-0.215285387661,33.7055220468,IT服务Ⅱ,2025-04-04,20191231,2019
26,872383,豫科光学,0.19,32188857.07,35.7333506743,,1939382.33,80.8992586505,,1.43,13.77,0.755676825,30.9311968373,,2025-03-25,20191231,2019
27,300437,清水源,0.5397,1694855586.35,1.039465881,52.9023,117818707.79,-54.18,-55.0401,6.75934555833,8.1,0.512824235274,32.2853564868,环境治理,2025-02-28,20191231,2019
28,874058,九州风神,0.7034,519302597.95,25.4809798691,,47277367.77,18.2960256417,,5.069484528707,12.39,1.32927941619,39.1716750124,,2025-02-20,20191231,2019
29,000833,粤桂股份,0.1242,3501991589.0,10.5365729384,-77.5676,83029249.63,-6.16,496.9036,4.197142062223,3.0,0.163853798439,7.4690674096,综合Ⅱ,2025-01-25,20191231,2019
30,873712,金则利,0.56,131735135.65,,,13095953.64,,,6.867192614468,8.36,0.608861957021,28.1039660811,,2024-12-09,20191231,2019
31,920100,三协电机,0.85,180639422.41,,,25555121.09,,,2.624343303,38.71,0.752090812333,28.8140970036,电机Ⅱ,2024-12-02,20191231,2019
32,300732,设研院,1.32,1580829245.01,38.8794527618,143.8757,252472772.98,-10.46,85.9738,11.302670432946,12.28,1.522688323734,40.6200923994,工程咨询服务Ⅱ,2024-10-31,20191231,2019
33,002097,山河智能,0.4731,7427355609.17,29.0475045758,47.5632,502834351.91,17.14,-31.5464,4.553636687378,10.22,0.67793848021,30.0923111582,工程机械,2024-10-31,20191231,2019
34,400271,龙宇3,0.0023,11255703129.26,-29.7329117566,-82.4355,942615.87,-89.69,254.3493,9.360755850586,0.17,-0.314161760914,0.7238466319,,2024-10-19,20191231,2019
35,002808,*ST恒久,-0.363,303519768.64,-4.7971212798,30.1793,-97645746.35,-381.73,-2407.9236,1.706803701042,-19.07,0.198589047842,21.3774024904,光学光电子,2024-09-03,20191231,2019
36,002055,ST得润,-1.2205,7486212149.89,0.430723541,42.9605,-585481081.75,-324.3,-3187.7185,3.992815262521,-24.65,0.672281545279,15.3714770509,消费电子,2024-08-31,20191231,2019
37,300376,易事特,0.17,2888135625.65,-14.032113302,-34.0616,394257935.96,-27.08,-104.0858,2.265503805016,8.14,-0.216805698359,36.6808022325,其他电源设备Ⅱ,2024-08-30,20191231,2019
38,002569,*ST步森,0.17,359122422.13,12.2754958831,-27.1212,23741718.54,123.07,278.5699,2.420952216842,13.96,-0.084661268695,34.7883670502,服装家纺,2024-08-30,20191231,2019
39,300528,幸福蓝海,0.35,2118846994.96,33.6093330486,69.8491,130427130.87,101.24,508.7792,4.740667004825,0.48,0.643625574717,41.7157915844,影视院线,2024-08-28,20191231,2019
40,300335,迪森股份,0.23,1460955401.39,-17.7204604969,19.5819,82037786.3,-49.25,-124.9745,3.78397315628,5.5,1.18145239175,28.8123009744,电力,2024-08-28,20191231,2019
